,year,name,fields_of_study,placement,ranking,university,department
85,2022,Mariia Voronina,"Macroeconomics, International Economics Advisors",Keystone,1,Harvard University,Economics
86,2022,Jeffrey Wang,"International Trade, Macroeconomics, Innovation & Technology",Uber,1,Harvard University,Economics
87,2022,Ron Yang,"Industrial Organization, Transportation Economics",University of British Columbia - Sauder School of Business (Stanford GSB post-doc 2022-2023),1,Harvard University,Economics
88,2022,David Zhang,Finance and Real Estate,Rice University - Jones School of Business,1,Harvard University,Economics
89,2021,Angie Acquatella,Public Finance,Boston University-Questrom Post-doc,1,Harvard University,Economics
90,2021,Eric Andersen,"Public Economics, Labor Economics",Uber,1,Harvard University,Economics
91,2021,Augustin Bergeron,Development Economics,University of Southern California,1,Harvard University,Economics
92,2021,Vu Chau,International Finance,IMF,1,Harvard University,Economics
93,2021,Stephanie Cheng,Labor Economics,Edgeworth Economics,1,Harvard University,Economics
94,2021,Krishna Dasaratha,"Microeconomic Theory, Psychology and Economics",Boston University,1,Harvard University,Economics
95,2021,Natalia Emanuel,"Labor Economis, Public Finance",Federal Bank Reserve of New York,1,Harvard University,Economics
96,2021,Emma Harrington,"Labor Economics, Public Economics, Behavioral Economics",University of Iowa,1,Harvard University,Economics
97,2021,Celena Huo,Labor Economics,Upwork,1,Harvard University,Economics
98,2021,Peter Maxted,"Finance, Macroeconomics, Behavioral Economics",University of California Berkeley-Haas,1,Harvard University,Economics
99,2021,Giselle Montamat,"International Finance, Macroeconomics",Uber,1,Harvard University,Economics
100,2021,Sarah Ridout,"Decision Theory,  Behavioral Economics",Vanderbilt University,1,Harvard University,Economics
101,2021,Nicola Rosaia,"Industrial Organization, Economic Theory",Columbia University Graduate School of Business,1,Harvard University,Economics
102,2021,Andreas Schaab,"Macroeconomics, Finance",Toulouse School of Economics,1,Harvard University,Economics
103,2021,Gregor Schubert,"Urban Economics, Corporate Finance","University of California, Los Angeles - Anderson",1,Harvard University,Economics
104,2021,Karen Shen,"Public Economics, Health Economics","John Hopkins, Bloomberg School of Public Health",1,Harvard University,Economics
105,2021,Anna Stansbury,"Labor Economics, Macroeconomics",MIT Sloan School of Management,1,Harvard University,Economics
106,2021,Patricia Sun,Development Economics,Uber,1,Harvard University,Economics
107,2021,Brian Wheaton,"Political Economy, Cultural Economics","University of California, Los Angeles - Anderson",1,Harvard University,Economics
108,2021,Yang You,"Financial Economics, Development Economics",Hong Kong University,1,Harvard University,Economics
109,2021,Allen Zhang,"Industrial Organization, Finance",Uber,1,Harvard University,Economics
110,2021,Kirsten Clinton,Labor Economics,Anaylsis Group,1,Harvard University,Economics
111,2021,Rishab Guha,Financial Economics,Amazon,1,Harvard University,Economics
112,2021,Josh Hurwitz,Public Economics,American Road & Transportation Builders Association,1,Harvard University,Economics
113,2021,Andrew Lilly,International Finance,Facebook,1,Harvard University,Economics
114,2021,Samuel Lite,Financial Economics,Uber,1,Harvard University,Economics
115,2020,Lisa Abraham,"Labor Economics, Public Finance",Rand,1,Harvard University,Economics
116,2020,Edoardo Acabbi,"Financial Economics, Macroeconomics",Charles III University of Madrid,1,Harvard University,Economics
117,2020,Omar Barbiero,Macroeconomics,Boston Federal Reserve,1,Harvard University,Economics
118,2020,Alex Bell,"Labor Economics, Social Economics",California Policy Lab at UCLA Post Doc,1,Harvard University,Economics
119,2020,Sophie Calder-Wang,Industrial Organization,"University of Pennsylvania, Wharton",1,Harvard University,Economics
120,2020,Moya Chin,Development Economics,IMF,1,Harvard University,Economics
121,2020,Chris Clayton,Macroeconomics,Yale SOM,1,Harvard University,Economics
122,2020,Paulo Costa,Financial Economics,Vanguard,1,Harvard University,Economics
123,2020,Xiang Ding,International Trade,Georgetown School of Foreign Services,1,Harvard University,Economics
124,2020,Jetlir Duraj,Theory,University of Pittsburgh Post Doc,1,Harvard University,Economics
125,2020,Nir Hak,Industrial Organization,Uber,1,Harvard University,Economics
126,2020,Taehoon Kim,Macroeconomics,IMF,1,Harvard University,Economics
127,2020,Alejandro Lagomarsino,"Labor Economics, Political Economy",Uber,1,Harvard University,Economics
128,2020,David Martin,Labor Economics,Harvard University Lecturer,1,Harvard University,Economics
129,2020,Sanjay Misra,Public Finance,Joint Committee on Taxation,1,Harvard University,Economics
130,2020,Andrea Passalacqua,Financial Economics,Federal Reserve Board,1,Harvard University,Economics
131,2020,Tzachi Raz,"Economic History, Political Economy",Hebrew University of Jerusalem,1,Harvard University,Economics
132,2020,Jon Roth,Econometrics,Brown University,1,Harvard University,Economics
133,2020,Elisa Rubbo,Macroeconomics,"University of Chicago, Booth",1,Harvard University,Economics
134,2020,Priya Shanmugam,Health Economics,Mathematica,1,Harvard University,Economics
135,2020,Rob Siliciano,Public Economics,"Boston College, Center for Retirement Research",1,Harvard University,Economics
136,2020,Michael Thaler,Experimental Economics,Princeton Economics Post Doc,1,Harvard University,Economics
137,2019,Christopher Anderson,Financial Economics,Federal Reserve Board,1,Harvard University,Economics
138,2019,Valentin Bolotnyy,Applied Microeconomics,Hoover Institution,1,Harvard University,Economics
139,2019,Vitaly Bord,"Public Economics, Labor Economics",Federal Reserve Board,1,Harvard University,Economics
140,2019,William Bruno,Labor Economics,"Postdoc - University of Pennsylvania, Department of Computer and Information Science",1,Harvard University,Economics
141,2019,Sarita Bunsupha,Macroeconomics,McKinsey,1,Harvard University,Economics
142,2019,Ruiqing Cao,Financial Economics,NBER post doc,1,Harvard University,Economics
143,2019,Ashley Craig,Applied Microeconomics,University of Michigan,1,Harvard University,Economics
144,2019,Oren Danieli,Labor Economics,Tel-Aviv University,1,Harvard University,Economics
145,2019,Ellora Derenoncourt,"Labor Economics, Economic History",University of California - Berkeley,1,Harvard University,Economics
146,2019,Ashvin Gandhi,"Industrial Organization, Health Economics",UCLA - Anderson School of Management,1,Harvard University,Economics
147,2019,Siddharth George,Development Economics,Dartmouth University,1,Harvard University,Economics
148,2019,Kevin He,Microeconomic Theory,University of Pennsylvania,1,Harvard University,Economics
149,2019,Yizhou Jin,Industrial Organization,University of California - Berkeley post-doc,1,Harvard University,Economics
150,2019,Yosub Jung,Financial Economics,Analysis Group,1,Harvard University,Economics
151,2019,Weiling Liu,Financial Economics,Northeastern University,1,Harvard University,Economics
152,2019,Matteo Paradisi,"Public Economics, Labor Economics",EIEF Rome,1,Harvard University,Economics
153,2019,Michael Reher,Financial Economics,"University of California, San Diego-Rady School of Management",1,Harvard University,Economics
154,2019,Silvia Robles,Labor Economics,Mathematica,1,Harvard University,Economics
155,2019,Janelle Schlossberger,Theory,MIT post-doc,1,Harvard University,Economics
156,2019,Eduard Talamas,Theory,IESE Business School,1,Harvard University,Economics
157,2019,Linh Tô,"Public Economics, Labor Economics",Boston University,1,Harvard University,Economics
158,2019,Argyris Tsiaras,Financial Economics,Cambridge Judge Business School post-doc,1,Harvard University,Economics
159,2019,Shoshana Vasserman,Industrial Organization,Stanford Graduate School of Business,1,Harvard University,Economics
160,2019,Chenzi Xu,Financial Economics,Stanford University - Graduate School of Business,1,Harvard University,Economics
161,2019,He Yang,Financial Economics,Amazon,1,Harvard University,Economics
162,2019,Jessica Liu,Public Economics,Cornerstone Research,1,Harvard University,Economics
163,2019,Natasha Sarin,Financial Economics,University of Pennsylvania Law School,1,Harvard University,Economics
164,2018,Laura Blattner,"Financial Economics, Corporate Finance",Stanford Graduate Business School,1,Harvard University,Economics
165,2018,Kirill Borusyak,"International Economics, Applied Microeconomics",University College London(Princeton post doc 2018-19),1,Harvard University,Economics
166,2018,Brian Chen,Financial Economics,Goldman Sachs - Macro Research,1,Harvard University,Economics
167,2018,David Choi,"Macroeconomics, Monetary Economics",Goldman Sachs,1,Harvard University,Economics
168,2018,John Coglianese,"Macroeconomics, Labor Economics, Public Economics",Federal Reserve Board of Governors,1,Harvard University,Economics
169,2018,Alonso de Gortari,International Trade,Dartmouth (IES post doc 2018-2019),1,Harvard University,Economics
170,2018,Anastassia Fedyk,"Financial Economics, Behavioral Economics",UC Berkeley-Haas,1,Harvard University,Economics
171,2018,Josh Feng,Industrial Organization,NBER post-doc,1,Harvard University,Economics
172,2018,Andrew Garin,"Labor Economics, Public Finance",University of Illinois-Urbana Champagne(NBER post doc 2018-2019),1,Harvard University,Economics
173,2018,Nathaniel Hipsman,"Macroeconomics, Public Finance",Cornerstone,1,Harvard University,Economics
174,2018,Eben Lazarus,"Macroeconomics, Financial Economics",MIT Sloan,1,Harvard University,Economics
175,2018,Seunghyup Lee,"Corporate Finance, Pricing Theory, Macroeconomics",Cornerstone,1,Harvard University,Economics
176,2018,Daniel Lewis,"Econometrics, Macroeconomics",Federal Reserve Bank of New York,1,Harvard University,Economics
177,2018,Jonathan Libgober,Microeconomic Theory,University of Southern California (Columbia post-doc 2018-2019),1,Harvard University,Economics
178,2018,Patrick  Luo,"Entrepreneurship, Behavioral Finance, Asset Pricing",Farallon Capital,1,Harvard University,Economics
179,2018,Yueran Ma,Financial Economics,University of Chicago-Booth,1,Harvard University,Economics
180,2018,Luca Maini,"Industrial Organization, Health Economics",University of North Carolina - Chapel Hill,1,Harvard University,Economics
181,2018,Elizabeth Mishkin,Labor Economics,Uber,1,Harvard University,Economics
182,2018,Eduardo Montero,"Development Economics, Political Economy, Economic History",University of Michigan - Ford,1,Harvard University,Economics
183,2018,Xiaosheng Mu,Theory,Columbia Econ(Yale Cowles post-doc 2018-2019),1,Harvard University,Economics
184,2018,Heather Sarsons,"Labor Economics, Behavioral Economics",University of Chicago - Booth(Univ of Toronto post-doc 2018-2019),1,Harvard University,Economics
185,2018,Jann Spiess,Econometrics,Stanford graduate Business School (MSR post-doc 2018-2019),1,Harvard University,Economics
186,2018,Edoardo Teso,"Development Economics, Political Economy, Economic History",Northwestern Kellogg MEDS,1,Harvard University,Economics
187,2018,Neil Thakral,"Labor Economics, Behavioral Economics",Brown,1,Harvard University,Economics
188,2018,Peter Tu,"Public Finance, Health Economics",Facebook,1,Harvard University,Economics
189,2018,Wentao Xiong,Applied Microeconomics,Goldman Sachs - London,1,Harvard University,Economics
190,2018,Egor Abramov,Political Economy,Cornerstone Research,1,Harvard University,Economics
191,2018,Yuxiao Huang,International Economics,Analysis Group,1,Harvard University,Economics
192,2018,Michael Kincaid,"Labor Economics, Public Economics",Bain & Company,1,Harvard University,Economics
193,2018,Elizabeth Santorella,Econometrics,QuantCo.,1,Harvard University,Economics
194,2018,Alexander Segura,Financial Economics,Boston Consulting Group,1,Harvard University,Economics
195,2018,Carmen Wang,"Behavioral Economics, Market Design",Uber,1,Harvard University,Economics
196,2017,Mitra Akhtari,"Labor Economics, Political Economics",Air BnB,1,Harvard University,Economics
197,2017,Thummim Cho,"Macroeconomics, Asset Pricing","London School of Economics, Department of Finance",1,Harvard University,Economics
198,2017,Aubrey Clark,Theory,University of Cambridge,1,Harvard University,Economics
199,2017,William Diamond,Finance,"University of Pennsylvania, Wharton Finance Department",1,Harvard University,Economics
200,2017,Wei Huang,"Labor Economics, Public Economics",National University of Singapore,1,Harvard University,Economics
201,2017,Xavier Jaravel,Public Finance,London School of Economics,1,Harvard University,Economics
202,2017,Marc Kaufmann,Behavioral Economics,Central European University,1,Harvard University,Economics
203,2017,Jessica Laird,Labor Economics,Mathematica,1,Harvard University,Economics
204,2017,Danial Lashkari,International Trade,"Boston College, Department of Economics",1,Harvard University,Economics
205,2017,Jing Li,"Industrial Organization, Environmental Economics","MIT- Sloan School of Management, Applied Economics",1,Harvard University,Economics
206,2017,Sara Lowes,"Political Economy, Economic History",Bocconi University,1,Harvard University,Economics
207,2017,Diana Moreira,Labor Economics,"University of California, Davis, Department of Economics",1,Harvard University,Economics
208,2017,Jisung Park,"Labor Economics, Environmental Economics","UCLA, School of Public Policy and Public Health",1,Harvard University,Economics
209,2017,Pascal Noel,Finance,"University Chicago, Booth School of Business",1,Harvard University,Economics
210,2017,Gleb Romanyuk,Microeconomic Theory,Amazon,1,Harvard University,Economics
211,2017,Stas Sokolinski,Finance,"Rutgers University, Rutgers Business School",1,Harvard University,Economics
212,2017,Karen Stockley,Public Finance,Congressional Budget Office,1,Harvard University,Economics
213,2017,Mingzhu Tai,Finance,University of Hong Kong,1,Harvard University,Economics
214,2017,Laura Trucco,"Development Economics, Political Economy",Amazon,1,Harvard University,Economics
215,2017,Jack Willis,Development Economics,"Columbia University, Department of Economics",1,Harvard University,Economics
216,2017,Elaine Chung,"International Trade, Industrial Organization",Spotify,1,Harvard University,Economics
217,2017,Gordon Liao,Finance,Cambridge Square Capital,1,Harvard University,Economics
218,2017,Stephanie Lo,Macroeconomics,Boston Consulting Group,1,Harvard University,Economics
219,2017,Vijay Narasiman,Finance,Lyft,1,Harvard University,Economics
220,2017,Kevin Pan,Finance,Goldman Sachs,1,Harvard University,Economics
221,2017,Daniel Pollmann,"Industrial Organization, Econometrics",QuantCo.,1,Harvard University,Economics
222,2017,Aurelie Ouss,Labor Economics,"University of Pennsylvania, Department of Criminology",1,Harvard University,Economics
223,2017,Alexandra Roulet,Labor Economics,INSEAD,1,Harvard University,Economics
224,2017,Ryan Sakoda,Labor Economics,"Committee for Public Counsel Services, Boston",1,Harvard University,Economics
225,2017,Jing Xia,"Health Economics, Industrial Organization",Cornerstone,1,Harvard University,Economics
226,2016,Samuel Asher,"Development Economics, Political Economy","World Bank, Research Unit",1,Harvard University,Economics
227,2016,Lorenzo Casaburi,Development Economics,"University of Zurich, Department of Economics",1,Harvard University,Economics
228,2016,Elizabeth Cook-Stuntz,"Economic History, Labor Economics",Amazon,1,Harvard University,Economics
229,2016,James Feigenbaum,"Economic History, Labor Economics",Boston University,1,Harvard University,Economics
230,2016,Peter Ganong,"Labor Economics, Public Economics","University of Chicago, Harris School of Public Policy",1,Harvard University,Economics
231,2016,Ryota Iijima,"Microeconomic theory, Game Theory, Decision Theory, Networks","Yale, Department of Economics",1,Harvard University,Economics
232,2016,Simon Jaeger,"Labor Economics, Public Economics","MIT, Department of Economics",1,Harvard University,Economics
233,2016,Sangram Kadam,"Microeconomic Theory, Market Design",Cornerstone Research,1,Harvard University,Economics
234,2016,Rohan Kekre,Macroeconomics,"University of Chicago, Booth School of Business",1,Harvard University,Economics
235,2016,Divya Kirti,"Corporate Finance, Contract Theory, Financial Intermediation",International Monetary Fund,1,Harvard University,Economics
236,2016,Annie Liang,Theory,"University of Pennsylvania, Department of Economics",1,Harvard University,Economics
237,2016,Guilherme Lichand,"Development Economics, Behavioral Economics, Political Economy","University of Zurich, Department of Economics",1,Harvard University,Economics
238,2016,Benjamin Lockwood,Public Economics,"University of Pennsylvania, Wharton BEPP",1,Harvard University,Economics
239,2016,Filippo Mezzanotti,Corporate Finance and Entrepreneurship,"Northwestern University, Kellogg School of Management",1,Harvard University,Economics
240,2016,Vladimir Mukharlyamov,"Corporate Finance, Venture Capital, Innovation, Bankruptcy, Real Estate, Behavioral Finance",Georgetown University,1,Harvard University,Economics
241,2016,Mikkel Plagborg-Møller,Econometrics,"Princeton, Department of Economics",1,Harvard University,Economics
242,2016,Guillaume Pouliot,"Econometrics and Statistics, Applied Econometrics","University of Chicago, Harris School of Public Policy",1,Harvard University,Economics
243,2016,Thomas Powers,"Asset Pricing, International Finance, Macroeconomics, Corporate Finance",Dodge & Cox,1,Harvard University,Economics
244,2016,Francisco Queiro,"Applied Microeconomics; Productivity, Innovation and Entrepreneurship",Nova School of Business and Economics,1,Harvard University,Economics
245,2016,Jonathan Rhinesmith,"Finance, Asset Pricing",Jane Street,1,Harvard University,Economics
246,2016,Bryce Steinberg Millet,"Development Economics, Labor Economics",Brown University,1,Harvard University,Economics
247,2016,Daniel Sullivan,"Public Economics, Environmental Economics, Real Estate",Resources for the Future,1,Harvard University,Economics
248,2016,Kentaro Tomoeda,"Game Theory, Microeconomic Theory",University of Technology-Sydney,1,Harvard University,Economics
249,2016,Gal Wettstein,"Public Finance, Labor Economics",Office of Tax Analysis-Treasury Department,1,Harvard University,Economics
250,2016,Yao Zeng,"Financial Intermediation and Markets, Corporate Finance","University of Washington, Foster School of Business",1,Harvard University,Economics
251,2016,John Zhou,"Financial Economics, Macroeconomics",Key Square Group,1,Harvard University,Economics
252,2016,Tilman Dette,"Industrial Organization, Health Economics, Quantitative Economics",QuantCo,1,Harvard University,Economics
253,2016,Yang Du,"International Trade, Macroeconomics",McKinsey & Company,1,Harvard University,Economics
254,2016,Michael Egesdal,Industrial Organization,Air BnB,1,Harvard University,Economics
255,2016,Zhaoning Wang,"Development Economics, Corporate Finance, Contract Theory",Analysis Group,1,Harvard University,Economics
256,2016,Lilei Xu,Financial Economics,Air BnB,1,Harvard University,Economics
257,2015,David Baqaae,"Macroeconomics, Applied Theory",London School of Economics,1,Harvard University,Economics
258,2015,Gregory Bruich,Public Economics,Harvard University-Lecturer/Advisor,1,Harvard University,Economics
259,2015,Itzik Fadlon,"Public Finance, Health Economics, Labor Economics","UC San Diego, Department of Economics",1,Harvard University,Economics
260,2015,Paul Goldsmith-Pinkham,"Consumer Finance, Corporate Finance, Econometrics",New York Federal Reserve,1,Harvard University,Economics
261,2015,Rezwan Haque,"Health Economics, Health Care Strategy and Operations",Cornerstone Research,1,Harvard University,Economics
262,2015,Benjamin Hebert,"Financial Economics, Macroeconomics","Stanford University, Graduate School of Business",1,Harvard University,Economics
263,2015,Daisuke Hirata,"Economic Theory, Organizational Economics, Market Design",Hitotubashi University,1,Harvard University,Economics
264,2015,Sabrina Howell,"Entrepreneurship, Innovation Finance, Energy","New York University, Stern School of Business",1,Harvard University,Economics
265,2015,Sonia Jaffe,"Applied Theory, Public Finance",Becker Friedman Institute,1,Harvard University,Economics
266,2015,Akos Lada,"Political Economy, Development Economics",Facebook,1,Harvard University,Economics
267,2015,James Lee,"Productivity, Urban Economics, Economic History",Cornerstone Research,1,Harvard University,Economics
268,2015,James Mahon,Public Economics,Deloitte Consulting,1,Harvard University,Economics
269,2015,Martin Rotemberg,"Development Economics, International Trade","New York University, Stern School of Business",1,Harvard University,Economics
270,2015,László Sándor,"Public Finance, Labor Economics",Luxembourg School of Finance,1,Harvard University,Economics
271,2015,Frank Schilbach,"Development Economics, Behavioral Economics","MIT, Department of Economics",1,Harvard University,Economics
272,2015,Benjamin Schoefer,"Labor Economics, Macroeconomics","UC Berkeley, Department of Economics",1,Harvard University,Economics
273,2015,Jesse Schreger,"International Finance, Macroeconomics, Finance",Harvard Business School,1,Harvard University,Economics
274,2015,Mark Shepard,"Health Economics, Industrial Organization",Harvard Kennedy School,1,Harvard University,Economics
275,2015,Ran Shorrer,"Economic Theory, Market Design",Pennsylvania State University,1,Harvard University,Economics
276,2015,Thomas Wollmann,"Industrial Organization, Applied Microeconomics","University of Chicago, Booth School of Business",1,Harvard University,Economics
277,2015,David Yang,"Finance, Macroeconomics","University of California Irvine, Paul Mirage School of Business",1,Harvard University,Economics
278,2015,Fanyin Zheng,"Industrial Organization, Applied Econometrics, Econometric Theory",Columbia Business School,1,Harvard University,Economics
279,2015,Tom Zimmerann,"Applied Macroeconomics, Behavioral Finance, Machine Learning",Federal Reserve Board of Governors,1,Harvard University,Economics
280,2015,Oren Ziv,"International Trade, Urban and Real Estate Economics",Michigan State University,1,Harvard University,Economics
281,2015,Zhenyu Lai,"Industrial Organization, Applied Microeconomics",Wayfair,1,Harvard University,Economics
282,2015,David Smalling,Financial Economics,Ellington Management Group,1,Harvard University,Economics
283,2014,Thomas Barrios,Economics,TrueCar,1,Harvard University,Economics
284,2014,Daniel Bjorkegren,Economics,"Brown University, Department of Economics",1,Harvard University,Economics
285,2014,Julia Cage,Economics,Sciences Po,1,Harvard University,Economics
286,2014,Eduardo Davila,Economics,"New York University, Stern School of Business",1,Harvard University,Economics
